id,prediction
K751808,0
K837351,0
K548114,0
K736156,0
K508080,1
K823422,0
K912220,0
K917925,0
K857768,1
K733855,0
K530927,0
K689281,1
K779910,0
K696152,0
K984423,1
K521601,1
K805248,0
K896458,0
K802487,0
K619527,0
K653124,0
K977125,1
K885860,0
K669676,0
K915073,1
K632791,1
K815141,0
K867693,0
K961174,0
K688992,0
K547786,0
K726310,0
K963760,0
K926609,0
K884651,1
K644620,1
K677219,0
K725038,0
K884425,0
K891429,0
K838479,0
K526004,1
K763596,0
K990929,1
K954837,0
K718970,0
K888726,1
K994955,0
K633153,0
K928121,0
K953945,0
K709629,1
K694845,1
K963281,1
K874326,0
K641920,0
K890217,1
K548035,0
K723452,0
K948363,0
K820239,1
K896590,1
K932037,0
K937754,1
K774408,0
K539470,1
K518293,0
K786774,1
K720003,1
K609473,1
K982436,0
K614020,1
K874108,1
K977085,1
K947599,1
K888551,0
K700222,0
K674517,1
K951596,0
K834937,1
K855476,0
K833208,1
K763287,0
K503978,1
K591416,1
K558625,0
K613758,1
K651230,1
K813321,1
K604105,0
K877024,1
K984122,0
K889986,0
K794185,1
K557118,1
K914279,0
K661078,0
K693776,0
K534207,0
K877484,0
K610918,0
K575118,1
K781836,0
K740446,0
K777229,0
K645863,0
K975623,0
K973462,0
K754902,1
K602728,0
K527217,1
K536045,1
K648967,0
K794589,1
K626635,1
K920875,1
K987278,1
K834490,0
K798363,1
K907249,0
K686713,1
K955872,0
K984811,1
K676484,0
K876097,0
K738209,0
K995912,1
K648054,1
K970986,1
K688465,1
K618821,0
K517990,0
K650218,0
K573337,0
K939159,1
K662189,0
K608686,0
K524468,0
K644051,0
K856737,0
K546575,1
K984464,0
K776034,0
K663765,0
K848337,0
K921077,1
K972618,1
K594517,1
K808518,0
K544136,1
K687788,1
K871344,1
K669598,0
K755360,0
K949342,0
K976992,1
K637949,1
K518995,1
K726877,0
K960270,1
K640917,0
K513072,1
K502427,1
K598923,1
K935230,0
K844627,0
K722310,1
K621204,0
K519636,1
K512650,0
K528735,1
K936595,0
K760157,0
K913520,1
K973737,1
K601120,1
K585097,0
K804102,1
K991376,0
K656320,1
K626435,0
K662122,1
K647819,0
K952181,1
K768115,1
K617950,0
K967465,0
K511776,1
K992718,0
K982915,0
K796444,0
K523610,0
K901596,0
