id,average cost min
K751808,8.24718223036575e-09
K837351,2.453422139503194e-06
K548114,0.00014527334337195486
K736156,7.603274764719784e-08
K508080,2.621393045660362e-06
K823422,8.070271057455232e-07
K912220,0.0002983927103180482
K917925,0.024558687967765332
K857768,3.913225381641969e-07
K733855,5.553690702420978e-07
K530927,2.717589063578284e-07
K689281,0.013854560293178312
K779910,1.3343944269797802e-05
K696152,0.008011812787919709
K984423,7.504824916825512e-08
K521601,7.837652382985671e-07
K805248,0.0026461010854717565
K896458,4.512230677611463e-06
K802487,1.0337539080807714e-07
K619527,6.279416287680536e-07
K653124,1.990815093121992e-08
K977125,2.7513613572431352e-06
K885860,1.562391360331214e-07
K669676,0.03338599418425305
K915073,3.816266443710424e-06
K632791,7.084162032287373e-06
K815141,0.00019547273377719184
K867693,7.749906551746159e-06
K961174,1.3842238339451835e-06
K688992,4.038766241506006e-06
K547786,4.996002467471959e-05
K726310,0.0008843396436941642
K963760,2.0658451651150973e-11
K926609,6.34275840037079e-08
K884651,1.9750609388283393e-06
K644620,0.015671403782831137
K677219,3.430756036970127e-08
K725038,1.1700798308055818e-06
K884425,6.451567510086716e-08
K891429,3.6672504289836333e-06
K838479,0.00038645358111926136
K526004,8.738166600405541e-05
K763596,0.018607857850267587
K990929,0.0385389063480277
K954837,0.011344157087137388
K718970,1.2952126965992793e-08
K888726,5.911023863900266e-07
K994955,5.271864093012303e-08
K633153,3.652427633611171e-07
K928121,6.629506340631023e-07
K953945,0.005696425421355496
K709629,1.8909022344580587e-05
K694845,5.108828312443515e-10
K963281,7.550223948297378e-07
K874326,7.646551671726165e-07
K641920,1.2071951514949045e-05
K890217,0.026421735763981054
K548035,1.5480754063441848e-07
K723452,2.495430545286125e-06
K948363,1.2358602691426965e-10
K820239,1.0553490790175208e-06
K896590,5.120151804393291e-05
K932037,5.186712695136834e-08
K937754,0.0001828319926694741
K774408,9.378208038409027e-06
K539470,1.073806796970392e-07
K518293,1.934428370795291e-07
K786774,5.120814413894786e-07
K720003,0.00022410494841208496
K609473,1.525526676373967e-06
K982436,5.100271319759246e-10
K614020,2.8046491198962962e-05
K874108,0.006486144892399855
K977085,0.0005632733678897331
K947599,6.210303252619363e-07
K888551,0.003967875410240121
K700222,4.6288858275310143e-10
K674517,3.478272861902962e-07
K951596,3.724125132129281e-06
K834937,0.024816484132275128
K855476,6.86074354312361e-08
K833208,0.02443673477131873
K763287,3.7763721699420414e-06
K503978,0.00018954719044669995
K591416,3.1483787732532385e-05
K558625,2.1313837837928733e-05
K613758,2.407479574583862e-05
K651230,0.026515308340156807
K813321,0.03656642389992529
K604105,8.249700184438233e-07
K877024,0.030100054290447716
K984122,9.55283265871051e-08
K889986,2.231025709507252e-06
K794185,0.013236987012832742
K557118,0.010263330923780277
K914279,2.890952228697927e-07
K661078,0.01109174259159668
K693776,2.7168098840657076e-08
K534207,1.6939836288990875e-08
K877484,0.01830091201923465
K610918,7.013311961547331e-09
K575118,1.4597544142076496e-05
K781836,0.0004908072160599313
K740446,4.736909897250756e-06
K777229,9.10220014744527e-12
K645863,0.0007739162846111331
K975623,0.028497952428578756
K973462,0.00024883086655825046
K754902,1.8999778623214295e-08
K602728,4.485953302197239e-09
K527217,6.599308343459595e-09
K536045,0.023382182126806865
K648967,9.288913981927615e-08
K794589,3.82279423509407e-06
K626635,0.042063479269618426
K920875,1.6980289199694506e-05
K987278,0.005999292546726471
K834490,4.819670304374369e-06
K798363,0.09764311223449543
K907249,1.241758663981576e-07
