Source,Target,Type,Weight
Sophie Rohonyi,François De Smet,Undirected,2016
François De Smet,Sophie Rohonyi,Undirected,2016
Raoul Hedebouw,Peter Mertens MP,Undirected,646
Peter Mertens MP,Raoul Hedebouw,Undirected,646
Sander Loones,Theo Francken MP,Undirected,352
Theo Francken MP,Sander Loones,Undirected,352
Raoul Hedebouw,Sofie Merckx,Undirected,324
Sofie Merckx,Raoul Hedebouw,Undirected,324
Darya Safai MP,Theo Francken MP,Undirected,80
Theo Francken MP,Darya Safai MP,Undirected,80
Sofie Merckx,Nabil Boukili,Undirected,80
Nabil Boukili,Sofie Merckx,Undirected,80
Catherine Fonck,Patrick Prévot,Undirected,72
Patrick Prévot,Catherine Fonck,Undirected,72
Anja Vanrobaeys,Joris Vandenbroucke,Undirected,40
Joris Vandenbroucke,Anja Vanrobaeys,Undirected,40
Peter Buysrogge ,Theo Francken MP,Undirected,32
Ahmed Laaouej,Patrick Prévot,Undirected,32
Theo Francken MP,Peter Buysrogge ,Undirected,32
Patrick Prévot,Ahmed Laaouej,Undirected,32
Séverine de Laveleye,Sophie Rohonyi,Undirected,30
Sophie Rohonyi,Séverine de Laveleye,Undirected,30
Theo Francken MP,Egbert Lachaert,Undirected,30
Egbert Lachaert,Theo Francken MP,Undirected,30
Catherine Fonck,Sophie Rohonyi,Undirected,28
Michael Freilich,Theo Francken MP,Undirected,28
Theo Francken MP,Michael Freilich,Undirected,28
Sophie Rohonyi,Catherine Fonck,Undirected,28
Kristien Van Vaerenbergh,Theo Francken MP,Undirected,24
Theo Francken MP,Kristien Van Vaerenbergh,Undirected,24
Sander Loones,Egbert Lachaert,Undirected,21
Egbert Lachaert,Sander Loones,Undirected,21
Roberto D'Amico,Sofie Merckx,Undirected,21
Sofie Merckx,Roberto D'Amico,Undirected,21
Nadia Moscufo,Sofie Merckx,Undirected,20
Sofie Merckx,Nadia Moscufo,Undirected,20
Sigrid Goethals,Theo Francken MP,Undirected,20
Theo Francken MP,Sigrid Goethals,Undirected,20
Tomas Roggeman,Theo Francken MP,Undirected,19
Theo Francken MP,Tomas Roggeman,Undirected,19
Theo Francken MP,Ortwin Depoortere,Undirected,18
