User1;Party1;User2;Party2;MutualMentionCount
Sophie Rohonyi;DéFI;François De Smet;DéFI;2016
François De Smet;DéFI;Sophie Rohonyi;DéFI;2016
Raoul Hedebouw;PVDA-PTB;Peter Mertens MP;PVDA-PTB;646
Peter Mertens MP;PVDA-PTB;Raoul Hedebouw;PVDA-PTB;646
Sander Loones;N-VA;Theo Francken MP;N-VA;352
Theo Francken MP;N-VA;Sander Loones;N-VA;352
Raoul Hedebouw;PVDA-PTB;Sofie Merckx;PVDA-PTB;324
Sofie Merckx;PVDA-PTB;Raoul Hedebouw;PVDA-PTB;324
Darya Safai MP;N-VA;Theo Francken MP;N-VA;80
Theo Francken MP;N-VA;Darya Safai MP;N-VA;80
Sofie Merckx;PVDA-PTB;Nabil Boukili;PVDA-PTB;80
Nabil Boukili;PVDA-PTB;Sofie Merckx;PVDA-PTB;80
Catherine Fonck;Les Engagés;Patrick Prévot;PS;72
Patrick Prévot;PS;Catherine Fonck;Les Engagés;72
Anja Vanrobaeys;Vooruit;Joris Vandenbroucke;Vooruit;40
Joris Vandenbroucke;Vooruit;Anja Vanrobaeys;Vooruit;40
Peter Buysrogge ;N-VA;Theo Francken MP;N-VA;32
Ahmed Laaouej;PS;Patrick Prévot;PS;32
Theo Francken MP;N-VA;Peter Buysrogge ;N-VA;32
Patrick Prévot;PS;Ahmed Laaouej;PS;32
Séverine de Laveleye;Ecolo-Groen;Sophie Rohonyi;DéFI;30
Sophie Rohonyi;DéFI;Séverine de Laveleye;Ecolo-Groen;30
Theo Francken MP;N-VA;Egbert Lachaert;Open Vld;30
Egbert Lachaert;Open Vld;Theo Francken MP;N-VA;30
Catherine Fonck;Les Engagés;Sophie Rohonyi;DéFI;28
Michael Freilich;N-VA;Theo Francken MP;N-VA;28
Theo Francken MP;N-VA;Michael Freilich;N-VA;28
Sophie Rohonyi;DéFI;Catherine Fonck;Les Engagés;28
Kristien Van Vaerenbergh;N-VA;Theo Francken MP;N-VA;24
Theo Francken MP;N-VA;Kristien Van Vaerenbergh;N-VA;24
Sander Loones;N-VA;Egbert Lachaert;Open Vld;21
Egbert Lachaert;Open Vld;Sander Loones;N-VA;21
Roberto D'Amico;PVDA-PTB;Sofie Merckx;PVDA-PTB;21
Sofie Merckx;PVDA-PTB;Roberto D'Amico;PVDA-PTB;21
Nadia Moscufo;PVDA-PTB;Sofie Merckx;PVDA-PTB;20
Sofie Merckx;PVDA-PTB;Nadia Moscufo;PVDA-PTB;20
Sigrid Goethals;N-VA;Theo Francken MP;N-VA;20
Theo Francken MP;N-VA;Sigrid Goethals;N-VA;20
Tomas Roggeman;N-VA;Theo Francken MP;N-VA;19
Theo Francken MP;N-VA;Tomas Roggeman;N-VA;19
Theo Francken MP;N-VA;Ortwin Depoortere;VB;18
kathleen depoorter;N-VA;Frieda Gijbels;N-VA;18
Egbert Lachaert;Open Vld;Robby De Caluwé;Open Vld;18
Ortwin Depoortere;VB;Theo Francken MP;N-VA;18
Frieda Gijbels;N-VA;kathleen depoorter;N-VA;18
Robby De Caluwé;Open Vld;Egbert Lachaert;Open Vld;18
Ortwin Depoortere;VB;Barbara Pas;VB;16
Barbara Pas;VB;Ortwin Depoortere;VB;16
Ahmed Laaouej;PS;Ben Achour Malik;PS;15
Ben Achour Malik;PS;Ahmed Laaouej;PS;15
Barbara Pas;VB;Dominiek Sneppe;VB;14
Sophie Rohonyi;DéFI;Marie Christine Marghem;MR;14
Dominiek Sneppe;VB;Barbara Pas;VB;14
Marie Christine Marghem;MR;Sophie Rohonyi;DéFI;14
Georges Dallemagne;Les Engagés;Catherine Fonck;Les Engagés;12
Theo Francken MP;N-VA;Denis Ducarme;MR;12
Denis Ducarme;MR;Theo Francken MP;N-VA;12
Catherine Fonck;Les Engagés;Georges Dallemagne;Les Engagés;12
Joris De Vriendt;VB;Barbara Pas;VB;11
Barbara Pas;VB;Joris De Vriendt;VB;11
Barbara Pas;VB;Frank Troosters;VB;11
Frank Troosters;VB;Barbara Pas;VB;11
Gilles Vanden Burre;Ecolo-Groen;Séverine de Laveleye;Ecolo-Groen;10
Séverine de Laveleye;Ecolo-Groen;Gilles Vanden Burre;Ecolo-Groen;10
Maria Vindevoghel;PVDA-PTB;Sofie Merckx;PVDA-PTB;10
Sofie Merckx;PVDA-PTB;Maria Vindevoghel;PVDA-PTB;10
Joris De Vriendt;VB;Katleen Bury;VB;9
Sofie Merckx;PVDA-PTB;Peter Mertens MP;PVDA-PTB;9
Katleen Bury;VB;Joris De Vriendt;VB;9
Samuel Cogolati;Ecolo-Groen;Sarah Schlitz;Ecolo-Groen;9
Sarah Schlitz;Ecolo-Groen;Samuel Cogolati;Ecolo-Groen;9
Wouter Beke;cd&v;Koen Geens;cd&v;9
Frieda Gijbels;N-VA;Theo Francken MP;N-VA;9
Theo Francken MP;N-VA;Frieda Gijbels;N-VA;9
Peter Mertens MP;PVDA-PTB;Sofie Merckx;PVDA-PTB;9
Koen Geens;cd&v;Wouter Beke;cd&v;9
Frank Troosters;VB;Ortwin Depoortere;VB;8
Mieke Claes;N-VA;Frieda Gijbels;N-VA;8
Peter De Roover;N-VA;Sander Loones;N-VA;8
Sander Loones;N-VA;Peter De Roover;N-VA;8
Ortwin Depoortere;VB;Frank Troosters;VB;8
Frieda Gijbels;N-VA;Mieke Claes;N-VA;8
Koen Geens;cd&v;Jef Van den Bergh ;cd&v;7
Jef Van den Bergh ;cd&v;Koen Geens;cd&v;7
Peter De Roover;N-VA;Sophie De Wit;N-VA;6
Annick Ponthier;VB;Barbara Pas;VB;6
Eva Platteau;Ecolo-Groen;Theo Francken MP;N-VA;6
Theo Francken MP;N-VA;Eva Platteau;Ecolo-Groen;6
Piedboeuf Benoît;MR;Sophie Wilmès;MR;6
Sophie Wilmès;MR;Piedboeuf Benoît;MR;6
Valerie Van Peel;N-VA;Catherine Fonck;Les Engagés;6
Samuel Cogolati;Ecolo-Groen;Gilles Vanden Burre;Ecolo-Groen;6
Marco Van Hees;PVDA-PTB;Marie Christine Marghem;MR;6
Marie Christine Marghem;MR;Marco Van Hees;PVDA-PTB;6
Barbara Pas;VB;Annick Ponthier;VB;6
Maxime PREVOT;Les Engagés;François De Smet;DéFI;6
Catherine Fonck;Les Engagés;Valerie Van Peel;N-VA;6
Sophie De Wit;N-VA;Peter De Roover;N-VA;6
Gilles Vanden Burre;Ecolo-Groen;Samuel Cogolati;Ecolo-Groen;6
François De Smet;DéFI;Maxime PREVOT;Les Engagés;6
Melissa Depraetere;Vooruit;Joris Vandenbroucke;Vooruit;5
